"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","H","OPS","Bat","Fld","Pos","WPA","-WPA","playerid"
"1970","Carmen Fanzone","Red Sox","10","19","0","0","3","0",".067",".214",".200",".316",".267",".277","63","0.0","-0.8","-0.9","-0.1","26","3",".582","-0.8","-1.0","0.1","","","1003928"
"1968","Sam Bowens","Senators","57","127","4","14","7","0",".139",".250",".191",".262",".330",".277","86","0.0","-1.8","-3.1","-0.2","29","22",".592","-1.8","-2.0","-1.1","","","1001249"
"1984","Tony Scott","- - -","70","105","0","10","5","1",".054",".319",".239",".317",".293",".277","74","-0.2","-3.3","-0.5","0.0","32","22",".611","-3.1","0.0","-0.5","0.38","-1.98","1011695"
"1958","Danny Kravitz","Pirates","45","112","1","9","5","0",".100",".256",".240",".313",".340",".277","65","0.1","-4.8","0.7","-0.1","27","24",".653","-4.8","-1.0","1.7","","","1007148"
"1986","Glenn Braggs","Brewers","58","232","4","19","18","1",".112",".281",".237",".274",".349",".277","66","-0.2","-9.7","-9.6","-1.2","23","51",".623","-9.5","-7.0","-2.6","-0.92","-4.10","1001333"
"1981","Dave Henderson","Mariners","59","145","6","17","13","2",".167",".155",".167",".264",".333",".277","70","0.0","-4.6","-1.6","-0.2","22","21",".597","-4.7","-1.0","-0.6","-0.52","-2.55","1005630"
"1961","Roy McMillan","Braves","154","588","7","42","48","2",".073",".248",".220",".305",".293",".277","69","-1.0","-24.4","27.3","2.3","31","111",".598","-23.4","18.0","9.3","","","1008643"
"1978","Terry Crowley","Orioles","62","105","0","9","12","0",".021",".286",".253",".314",".274",".277","74","0.0","-3.0","-1.9","-0.2","31","24",".588","-3.0","0.0","-1.9","0.03","-2.54","1002829"
"1979","Dan Briggs","Padres","104","254","8","34","30","2",".150",".220",".207",".277",".357",".277","74","0.1","-7.8","2.1","0.3","26","47",".634","-7.8","5.0","-2.9","0.05","-4.62","1001426"
"1968","Tim Cullen","- - -","119","302","3","24","29","0",".089",".254",".230",".295",".320",".277","83","0.0","-4.9","1.9","0.6","26","62",".615","-5.0","-1.0","2.9","","","1002862"
"1958","Joe Ginsberg","Orioles","61","126","3","4","16","0",".092",".213",".211",".302",".303",".277","73","0.1","-3.9","0.7","0.1","31","23",".604","-4.0","-1.0","1.7","","","1004742"
"1982","Larry Milbourne","- - -","125","453","2","40","26","3",".070",".269",".257",".289",".327",".277","66","-2.2","-20.6","-4.6","-1.1","31","107",".616","-18.5","-8.0","3.4","-2.25","-8.90","1008858"
"1961","Don Drysdale","Dodgers","40","95","5","9","12","0",".193",".200",".193",".244",".386",".277","60","0.0","-4.8","7.3","0.6","24","16",".630","-4.9","0.0","7.3","","","1003516"
"1965","Jeff Torborg","Dodgers","56","162","3","8","13","0",".107",".270",".240",".290",".347",".277","82","0.0","-3.3","4.5","0.7","23","36",".637","-3.3","2.0","2.5","","","1013123"
"1962","Dick Brown","Tigers","134","461","12","40","40","0",".111",".259",".241",".279",".353",".277","64","-0.4","-20.9","7.4","0.0","27","104",".631","-20.6","0.0","7.4","","","1001510"
"1974","Tim Foli","Expos","121","493","0","41","39","8",".036",".268",".254",".300",".290",".277","64","0.9","-19.1","23.0","2.0","23","112",".591","-20.0","16.0","7.0","-2.05","-8.68","1004202"
"1962","Jimmie Schaffer","Cardinals","70","74","0","7","6","1",".061",".314",".242",".301",".303",".277","57","0.2","-3.7","2.6","0.1","26","16",".604","-3.9","1.0","1.6","","","1011511"
"1960","Juan Pizarro","Braves","23","41","0","4","2","0",".075",".379",".275",".275",".350",".277","75","0.0","-1.2","3.0","0.3","23","11",".625","-1.2","0.0","3.0","","","1010382"
"1968","Bill Mazeroski","Pirates","143","556","3","36","42","3",".061",".264",".251",".304",".312",".277","84","-0.7","-9.3","18.4","2.9","31","127",".616","-8.6","15.0","3.4","","","1008316"
"1985","Barry Bonnell","Mariners","48","117","1","9","10","1",".099",".286",".243",".282",".342",".277","67","-0.6","-5.2","-2.2","-0.4","31","27",".624","-4.6","-1.0","-1.2","-0.93","-2.72","1001171"
"1971","Jake Gibbs","Yankees","70","224","5","23","21","2",".117",".223",".218",".270",".335",".277","76","-0.3","-6.3","4.0","0.5","32","45",".605","-6.0","1.0","3.0","","","1004660"
"1976","Ed Goodson","Dodgers","83","128","3","8","17","0",".110",".245",".229",".273",".339",".277","74","0.0","-3.8","-0.7","0.0","28","27",".612","-3.7","-1.0","0.3","-2.17","-4.18","1004860"
"1965","Pedro Gonzalez","- - -","123","438","5","38","39","7",".089",".285",".254",".289",".343",".277","76","-0.1","-12.1","7.6","0.9","27","103",".632","-12.0","5.0","2.6","","","1004843"
"1966","Tom Satriano","Angels","103","255","0","16","24","3",".049",".278",".239",".320",".288",".277","82","-0.4","-5.5","-5.8","-0.4","25","54",".608","-5.1","-8.0","2.2","","","1011454"
