"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1965","Nate Oliver","Dodgers","8","2","0","0","1","1.000","1.000","1.000",".897","488","0.2","0.1","24","1","0","0","0","0","0","1","2.000","0.9","0.0","","","","1","1009779"
"1965","Ken Rowe","Orioles","6","1","0","1","0","1.000","1.000","1.000",".897","488","0.0","0.1","31","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1011256"
"1981","Alan Knicely","Astros","3","7","2","2","0",".571",".571","1.429",".896","494","0.0","0.4","26","4","2","0","0","0","0","0","2.000","3.0","0.0","-0.06","0.34","0.11","7","1007035"
"1964","Freddie Burdette","Cubs","18","1","0","0","0","1.000","1.000","1.000",".895","485","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1001661"
"1964","Dave Gray","Red Sox","9","1","0","0","0","1.000","1.000","1.000",".895","467","0.0","0.1","21","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1004966"
"1964","Willard Hunter","Mets","41","3","0","0","0","1.000","1.000","1.000",".895","490","0.0","0.2","30","1","0","0","0","0","0","2","2.000","1.3","0.0","","","","1","1006207"
"1964","Paul Popovich","Cubs","1","1","0","0","0","1.000","1.000","1.000",".895","485","0.0","0.1","23","1","0","0","0","0","0","0","2.000","0.4","","","","","1","1010440"
"1966","Don Lee","Astros","9","1","0","0","0","1.000","1.000","1.000",".891","473","0.0","0.1","32","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1007453"
"1966","Cecil Upshaw","Braves","1","1","0","1","0","1.000","1.000","1.000",".891","469","0.0","0.1","23","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1013292"
"1966","Dom Zanni","Reds","5","1","0","0","0","1.000","1.000","1.000",".891","463","0.0","0.1","34","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1014417"
"1985","Pat Keedy","Angels","3","4","1","1","0",".500",".500","1.500",".849","443","-0.4","0.1","27","2","1","0","0","0","0","0","2.000","1.6","0.0","-0.21","0.24","-0.17","4","1006738"
"1967","Mike Adamson","Orioles","3","2","0","1","0",".500",".500","1.500",".847","471","0.0","0.1","19","1","0","0","0","0","0","0","2.000","0.8","0.0","","","","2","1000058"
"1967","Hank Aguirre","Tigers","31","2","0","3","0",".500",".500","1.500",".847","468","0.0","0.1","36","1","0","0","0","0","0","0","2.000","0.8","0.0","","","","2","1000087"
"1981","Mike Gates","Expos","1","2","0","1","0",".500",".500","1.500",".846","453","0.0","0.1","24","1","0","0","0","0","0","0","2.000","0.8","0.0","0.00","0.00","-0.03","2","1004572"
"1969","John Morris","Pilots","6","2","0","0","0","1.000","1.000","1.000",".826","423","0.0","0.1","27","1","0","0","0","1","0","0","2.000","0.7","0.0","","","","1","1009219"
"1982","John Rabb","Giants","2","2","0","0","0",".500",".500","1.500",".821","448","0.0","0.0","22","1","0","0","0","0","0","0","2.000","0.8","-1.0","-0.04","0.00","-0.02","2","1010625"
"1975","Jim Essian","Phillies","2","2","0","1","0","1.000","1.000","1.000",".819","418","0.0","0.2","24","1","0","1","0","0","0","0","2.000","0.7","1.0","0.00","0.00","-0.01","1","1003835"
"1963","John Paciorek","Colt .45's","1","5","0","3","0","1.000","1.000","1.000",".812","450","0.0","0.2","18","3","0","2","0","0","0","0","2.000","1.9","0.0","","","","3","1009937"
"1970","Bo Belinsky","Reds","3","2","0","0","0","1.000","1.000","1.000",".808","399","0.0","0.1","33","1","0","1","0","0","0","0","2.000","0.7","0.0","","","","1","1000791"
